volvo truck,vnl,2005,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2006,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2006,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2014,ALL,D13,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnl,2007,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2007,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2007,ALL,VE D16,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2008,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2020,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnm,2004,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2008,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2008,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2021,ALL,D13,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vhd,2015,ALL,D13,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vhd,2019,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnl,2008,ALL,VE D16,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2009,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2006,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2013,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2012,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2011,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2010,ALL,D11,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2005,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vah,2015,ALL,D13,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnl,2009,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2009,ALL,VE D16,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2001,ALL,ISM,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2010,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2009,ALL,D11,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2016,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnl,2010,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2007,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vn,1999,ALL,S60,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vnl,2010,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2000,ALL,ISM,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2002,ALL,ISM,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo,9700,2009,ALL,D13 Diesel,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2009,ALL,D11,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2018,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnl,2011,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2011,ALL,VE D16,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vah,2018,ALL,D13,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vah,2012,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2004,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2003,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2009,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2017,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,vnm,2008,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2002,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vn,1998,ALL,N14,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vnl,2011,ALL,null,ALL,ALL,NO ENGINE,null,null
volvo truck,vnm,2008,ALL,D11,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2013,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vt,2007,ALL,VE D16,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2012,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2003,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2012,ALL,VE D16,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vn,1998,ALL,S60,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vn,1999,ALL,N14,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vnm,2009,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2008,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vah,2013,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vah,2012,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2012,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2001,ALL,S60,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2002,ALL,N14,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2001,ALL,N14,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vt,2006,ALL,ISX,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2013,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2011,ALL,D13,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2013,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2012,ALL,D11,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,fe,1996,ALL,VE D7,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vt,2008,ALL,VE D16,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,wg,2001,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vhd,2008,ALL,VE D12,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2003,ALL,N14,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2013,ALL,D16,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2002,ALL,ISM,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnx,2016,ALL,D16,ALL,ALL,CBL-VG-BJ1939-VM,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo,9700,2010,ALL,D13 Diesel,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnm,2008,ALL,D13,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2014,ALL,ISX G 12L,ALL,ALL,CBL-VG-BJ1939-Y0,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,vnl,2014,ALL,D11,ALL,ALL,CBL-VG-BJ1939-VM ,CBL-VG-CJ1939-VM,CBL-VG-CJ1939-VM
volvo truck,whlb,2007,ALL,VE12,ALL,ALL,null,CBL-VG-CJ1939,CBL-VG-CJ1939
volvo truck,wg,1999,ALL,VE12,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vn,1998,ALL,VE12,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,acl,1998,ALL,VE12,ALL,ALL,CBL-VG-BJ1708,CBL-VG-CJ1708,CBL-VG-CJ1708
volvo truck,vhd,2003,ALL,VE D7,ALL,ALL,CBL-VG-BJ1708-9P,CBL-VG-CJ1939,CBL-VG-CJ1939
