j1939_cvw_gross_combination_vehicle_weight,True,True,True,True,True,True
j1939_d1_status,True,True,True,True,True,True
j1939_d2_status,True,True,True,True,True,True
j1939_dpf_regen_active_status,True,False,False,False,False,False
j1939_dpf_regen_forced_status,True,False,False,False,False,False
j1939_dpf_regen_needed_status,True,False,False,False,False,False
j1939_dpf_regen_passive_status,True,False,False,False,False,False
j1939_fault_count,True,True,True,True,True,True
j1939_fli1_driver_alertness_warning,True,True,True,True,True,True
j1939_fli1_lane_departure_imminent_left_side_state,True,True,True,True,True,True
j1939_fli1_lane_departure_imminent_right_side_state,True,True,True,True,True,True
j1939_fli1_lane_departure_left_side,True,True,True,True,True,True
j1939_fli1_lane_departure_right_side,True,True,True,True,True,True
j1939_oel_turn_signal_switch_state,True,True,True,True,True,True
j1939_prop_analog_input_current_1_micro_amps,True,True,True,True,True,False
j1939_prop_analog_input_current_2_micro_amps,True,True,True,True,True,False
j1939_prop_analog_input_current_3_micro_amps,True,True,True,True,True,False
j1939_prop_analog_input_voltage_1_milli_volts,True,True,True,True,True,False
j1939_prop_analog_input_voltage_2_milli_volts,True,True,True,True,True,False
j1939_prop_analog_input_voltage_3_milli_volts,True,True,True,True,True,False
lifetime_fuel_consumed,True,True,True,True,False,False
manifold_temp_milli_c,True,True,True,True,False,False
obd_cable_id,True,True,True,True,True,True
obd_compliance_standard,True,True,True,True,True,True
obd_internal_end,True,True,True,True,True,True
obd_internal_start,True,True,True,True,True,True
odometer,True,True,True,True,True,True
oil_pressure_k_pa,True,False,True,True,False,False
overall_power_factor_lagging_enum,True,True,True,True,True,False
passenger_dtcs,True,True,True,True,True,True
passenger_fault_count,True,True,True,True,True,True
phase_a_ac_freq_micro_hertz,False,False,True,True,True,False
phase_a_amps_rms,False,False,True,True,True,False
phase_a_ll_volts_rms,False,False,True,True,True,False
phase_a_ln_volts,False,False,True,True,True,False
phase_b_amps_rms,False,False,True,True,True,False
phase_b_ll_volts,False,False,True,True,True,False
phase_b_ln_volts,False,False,True,True,True,False
phase_c_amps_rms,False,False,True,True,True,False
phase_c_ll_volts,False,False,True,True,True,False
phase_c_ln_volts,False,False,True,True,True,False
power_factor_ratio,False,False,True,True,True,False
power_take_off,True,True,True,True,True,False
reefer_active_zones,True,True,True,True,True,True
reefer_alarms,True,True,True,True,True,True
reefer_ambient_air_temp_milli_c,True,True,True,True,True,True
reefer_attached_controller,True,True,True,True,True,True
reefer_attached_controller_thermo_king_ibox_attached,True,True,True,True,True,True
reefer_batt_voltage_milli_v,True,True,True,True,True,True
reefer_command_type,True,True,True,True,True,True
reefer_display_air_temp_milli_c,True,True,True,True,True,True
reefer_door_open,True,True,True,True,True,True
reefer_door_open_zone_1,True,True,True,True,True,True
reefer_door_open_zone_2,True,True,True,True,True,True
reefer_door_open_zone_3,True,True,True,True,True,True
reefer_electric_hours,True,True,True,True,True,True
reefer_engine_hours_zone_2,True,True,True,True,True,True
reefer_fuel_level_percent,True,True,True,True,True,True
reefer_heartbeat,True,True,True,True,True,True
reefer_on_hours,True,True,True,True,True,True
reefer_power_status,True,True,True,True,True,True
reefer_pretrip_status,True,True,True,True,True,True
reefer_pretrip_status,True,True,True,True,True,True
reefer_return_air_temp_milli_c,True,True,True,True,True,True
reefer_return_air_temp_milli_c_zone_2,True,True,True,True,True,True
reefer_return_air_temp_milli_c_zone_3,True,True,True,True,True,True
reefer_road_hours_zone_1,True,True,True,True,True,True
reefer_road_hours_zone_2,True,True,True,True,True,True
reefer_run_mode,True,True,True,True,True,True
reefer_state,True,True,True,True,True,True
reefer_state_zone_1,True,True,True,True,True,True
reefer_state_zone_2,True,True,True,True,True,True
reefer_state_zone_3,True,True,True,True,True,True
reefer_supply_air_temp_milli_c,True,True,True,True,True,True
reefer_supply_air_temp_milli_c_zone_2,True,True,True,True,True,True
reefer_supply_air_temp_milli_c_zone_3,True,True,True,True,True,True
salt_spreader_actual_spread_rate_dry,True,True,True,True,True,True
salt_spreader_actual_spread_rate_prewet,True,True,True,True,True,True
salt_spreader_actual_spread_rate_wet,True,True,True,True,True,True
salt_spreader_air_temp_milli_c,True,True,True,True,True,True
salt_spreader_ground_speed_milli_knots,True,True,True,True,True,True
salt_spreader_ground_temp_milli_c,True,True,True,True,True,True
salt_spreader_major_event,True,True,True,True,True,True
salt_spreader_quantity_spread_dry,True,True,True,True,True,True
salt_spreader_quantity_spread_prewet_milliliters,True,True,True,True,True,True
salt_spreader_rate_dry_milligrams_per_meter,True,True,True,True,True,True
salt_spreader_spread_rate_prewet_liters_per_tonne,True,True,True,True,True,True
salt_spreader_spread_rate_prewet_milliliters_per_meter,True,True,True,True,True,True
salt_spreader_spread_rate_wet,True,True,True,True,True,True
salt_spreader_state,True,True,True,True,True,True
salt_spreader_type,True,True,True,True,True,True
scr_system_cleaning_inhibited_due_to_inhibit_switch_state,True,False,False,False,False,False
scr_system_cleaning_inhibited_status_state,True,False,False,False,False,False
seat_belt_driver,True,True,True,True,True,True
set_point_temp_milli_c,True,True,True,True,True,True
set_point_temp_milli_c_zone_2,True,True,True,True,True,True
set_point_temp_milli_c_zone_3,True,True,True,True,True,True
smog_check_results,True,False,False,False,False,False
sullair_compressor_discharge_temp_micro_celsius,True,True,True,True,True,True
sullair_compressor_fuel_level_deci_percent,True,True,True,True,True,True
sullair_compressor_p1_pressure_pa,True,True,True,True,True,True
sullair_compressor_p2_pressure_pa,True,True,True,True,True,True
sullair_compressor_p3_pressure_pa,True,True,True,True,True,True
tachograph_download_error,True,True,True,True,True,True
tachograph_driver_info,True,True,True,True,True,True
tachograph_driver_state,True,True,True,True,True,True
tachograph_vu_download,True,True,True,True,True,True
tell_tale_status,True,True,True,True,True,True
throttle_value_1_position_1_deci_percent,True,True,True,True,False,False
tire_pressure_back_left_k_pa,True,True,True,True,True,True
tire_pressure_back_right_k_pa,True,True,True,True,True,True
tire_pressure_front_left_k_pa,True,True,True,True,True,True
tire_pressure_front_right_k_pa,True,True,True,True,True,True
torque_percent,True,True,True,True,True,True
total_apparent_power_volt_ampere,True,True,True,True,False,False
total_kwh_exported,True,True,True,True,False,False
total_power_kw,True,True,True,True,False,False
total_reactive_power_volt_ampere_reactive,True,True,True,True,False,False
total_real_power_watt,True,True,True,True,False,False
unique_vin_count,True,True,True,True,True,True
vehicle_current_gear,True,True,True,True,False,False
