23,CBL-VG-COBDII-Y0S,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
23,CBL-VG-COBDII-Y0S,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
23,CBL-VG-COBDII-Y0S,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
23,CBL-VG-COBDII-Y0S,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
13,CBL-VG-COBDII-Y1,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
13,CBL-VG-COBDII-Y1,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
13,CBL-VG-COBDII-Y1,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
13,CBL-VG-COBDII-Y1,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
13,CBL-VG-COBDII-Y1,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
20,CBL-VG-COBDII-Y1S,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
20,CBL-VG-COBDII-Y1S,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
20,CBL-VG-COBDII-Y1S,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
20,CBL-VG-COBDII-Y1S,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
20,CBL-VG-COBDII-Y1S,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
16,CBL-VG-COBDII-Y2,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
16,CBL-VG-COBDII-Y2,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
16,CBL-VG-COBDII-Y2,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
16,CBL-VG-COBDII-Y2,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
16,CBL-VG-COBDII-Y2,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
19,CBL-VG-COBDII-Y3,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
19,CBL-VG-COBDII-Y3,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
19,CBL-VG-COBDII-Y3,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
19,CBL-VG-COBDII-Y3,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
19,CBL-VG-COBDII-Y3,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
30,CBL-VG-COPEN,CANBUS_CAN1_COPEN_FLYING_LEADS,BUS_CAN1_COPEN_FLYING_LEADS
30,CBL-VG-COPEN,CANBUS_CAN2_COPEN_FLYING_LEADS,BUS_CAN2_COPEN_FLYING_LEADS
30,CBL-VG-COPEN,CANBUS_J1708_COPEN_FLYING_LEADS,BUS_J1708_COPEN_FLYING_LEADS
12,CBL-VG-CRP1226,CANBUS_CAN1_J1939_RP1226_PINS_2_9,BUS_CAN1_J1939_RP1226_PINS_2_9
12,CBL-VG-CRP1226,CANBUS_CAN2_J1939_RP1226_PINS_4_11,BUS_CAN2_J1939_RP1226_PINS_4_11
12,CBL-VG-CRP1226,CANBUS_J1708_RP1226_PINS_6_13,BUS_J1708_RP1226_PINS_6_13
22,CBL-VG-CTSLA3Y-19,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
22,CBL-VG-CTSLA3Y-19,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
22,CBL-VG-CTSLA3Y-19,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
22,CBL-VG-CTSLA3Y-19,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
22,CBL-VG-CTSLA3Y-19,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
24,CBL-VG-CTSLAXS-18,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
24,CBL-VG-CTSLAXS-18,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
24,CBL-VG-CTSLAXS-18,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
24,CBL-VG-CTSLAXS-18,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
24,CBL-VG-CTSLAXS-18,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
33,CBL-VG-DFMS,CANBUS_CAN1_J1939_DFMS_PINS_6_9,BUS_CAN1_J1939_DFMS_PINS_6_9
33,CBL-VG-DFMS,CANBUS_CAN2_J1939_DFMS_PINS_5_8,BUS_CAN2_J1939_DFMS_PINS_5_8
34,CBL-VG-DHGV,CANBUS_CAN1_J1939_DHGV_PINS_A4_A8,BUS_CAN1_J1939_DHGV_PINS_A4_A8
34,CBL-VG-DHGV,CANBUS_CAN2_J1939_DHGV_PINS_C5_C7,BUS_CAN2_J1939_DHGV_PINS_C5_C7
32,CBL-VG-DTDC-Y0,CANBUS_EV_PASSENGER_15765,BUS_EV_CAN_OBD2_PINS_12_13
32,CBL-VG-DTDC-Y0,CANBUS_PRIMARY_PASSENGER_15765,BUS_PRIMARY_CAN_OBD2_PINS_6_14
32,CBL-VG-DTDC-Y0,CANBUS_SECONDARY_PASSENGER_15765,BUS_SECONDARY_CAN_OBD2_PINS_3_11
32,CBL-VG-DTDC-Y0,CANBUS_SW_PASSENGER_15765,BUS_SINGLE_WIRE_CAN_OBD2_PIN_1
32,CBL-VG-DTDC-Y0,CANBUS_TERTIARY_PASSENGER_15765,BUS_TERTIARY_CAN_OBD2_PINS_1_9
26,CBL-VG-HJ1939-PAC,CANBUS_CAN1_J1939_PACCAR_PINS_F_G,BUS_CAN1_J1939_PACCAR_PINS_F_G
