osDFuelConsumedGaseous,0,0,120000,0
osDFuelType,0,0,0,0
osDJ1939ComponentId,0,0,0,0
osDEvHighCapacityBatteryMilliVolt,0,0,10000,0
osDEvHighCapacityBatteryMilliAmp,0,0,10000,0
osDEvHighCapacityBatteryStateOfHealthMilliPercent,0,0,10000,0
osDEvChargingType,0,0,10000,0
osDEvAverageCellTemperatureMilliCelsius,0,0,10000,0
osDEvChargerMilliVolt,0,0,10000,0
osDEvChargerMilliAmp,0,0,10000,0
osDSaltSpreaderActualSpreadRateWetMillilitersPerMeter,0,0,0,0
osDSaltSpreaderActualSpreadRateDryMilligramsPerMeter,0,0,0,0
osDSaltSpreaderActualSpreadRatePrewetMillilitersPerMeter,0,0,0,0
osDJ1939CVWGrossCombinationVehicleWeightKilograms,0,0,600000,0
