CBL-VG-COPEN,30,False,BUS_CAN1_COPEN_FLYING_LEADS,BUS_CAN2_COPEN_FLYING_LEADS,,,BUS_J1708_COPEN_FLYING_LEADS,False,False,NONE,False,False,False,True,True,True,True,True
CBL-VG-CKM12,31,False,BUS_CAN1_KOMATSU_12PIN_PINS_3_10,,,,,False,False,NONE,False,False,False,True,True,True,True,True
CBL-VG-DTDC-Y0,32,False,BUS_PRIMARY_CAN_OBD2_PINS_6_14,BUS_SECONDARY_CAN_OBD2_PINS_3_11,BUS_TERTIARY_CAN_ISO16844_CAN_C,,,True,True,NONE,False,False,False,False,True,False,False,True
CBL-VG-DFMS,33,False,BUS_CAN1_J1939_FMS_PINS_6_9,BUS_CAN2_J1939_FMS_PINS_5_8,,,,True,True,NONE,False,False,False,False,True,False,False,True
CBL-VG-DHGV,34,False,BUS_CAN1_J1939_HGV_PINS_A4_A8,BUS_CAN2_J1939_HGV_PINS_C5_C7,,,,True,True,NONE,False,False,False,False,True,False,False,True
CBL-VG-DTSLA3-24,35,False,BUS_PRIMARY_CAN_OBD2_PINS_6_14,,,,,False,False,TESLA,False,False,False,True,True,True,True,True
CBL-VG-DIZU,36,False,BUS_PRIMARY_CAN_OBD2_PINS_6_14,BUS_J1962_SECONDARY_J1939,,,,False,False,ISUZU,False,False,False,True,True,False,True,True
CBL-VG-DJ1939-VM,37,False,BUS_CAN1_DJ1939_VM_PINS_6_14,BUS_CAN2_DJ1939_VM_PINS_3_11,,,,False,False,NONE,False,False,False,True,True,True,True,True
CBL-VG-DJ1939-JOE,38,False,BUS_CAN1_DJ1939_JOE_9PIN_PINS_C_D,BUS_CAN2_DJ1939_JOE_9PIN_PINS_H_J,BUS_CAN3_DJ1939_JOE_9PIN_PINS_F_G,,BUS_J1708_DJ1939_JOE_9PIN_PINS_F_G,False,False,NONE,False,False,False,True,True,True,True,True
CBL-VG-DJ1939-VOE,39,False,BUS_CAN1_DJ1939_VOE_PINS_6_14,BUS_CAN2_DJ1939_VOE_PINS_3_11,,,,False,False,NONE,False,False,False,True,True,True,True,True
